iter	RMSE
0	0.4238092306
1	0.4116641344
2	0.400269741
3	0.3899080523
4	0.3800012539
5	0.3711605945
6	0.3607490017
7	0.3500155408
8	0.3402478695
9	0.3306901165
10	0.3217020059
11	0.313545819
12	0.3060896433
13	0.2992653119
14	0.2921644656
15	0.2861384983
16	0.2800128103
17	0.2747316139
18	0.2695955443
19	0.2647507678
20	0.2602322062
21	0.2558916818
22	0.2519649381
23	0.2482639681
24	0.2448485557
25	0.2415953958
26	0.2383363861
27	0.2352170115
28	0.2324894587
29	0.2300096885
30	0.2274540721
31	0.2251290807
32	0.2230760612
33	0.2210067456
34	0.2192662556
35	0.2175184266
36	0.2158021261
37	0.2142614596
38	0.2128704811
39	0.211610951
40	0.2103853988
41	0.2090914745
42	0.207911127
43	0.2067356333
44	0.2056487625
45	0.2046766167
46	0.2037941828
47	0.2028876252
48	0.2022015204
49	0.2014306656
50	0.2007586435
51	0.1997971976
52	0.1988333943
53	0.1980041306
54	0.1971263003
55	0.1964446544
56	0.1956679714
57	0.1947592883
58	0.1942079037
59	0.193604749
60	0.1930914159
61	0.1926920439
62	0.1921024179
63	0.1915727194
64	0.1911292261
65	0.1906955819
66	0.1903421021
67	0.1898925829
68	0.1892489299
69	0.1887312
70	0.1882065482
71	0.1878010842
72	0.1875287696
73	0.1871453144
74	0.1867352339
75	0.1863726737
76	0.1860730229
77	0.1857390527
78	0.1854549869
79	0.1852129973
80	0.1849521432
81	0.1845942215
82	0.1842606484
83	0.1839497817
84	0.1835995337
85	0.1834351028
86	0.1830333545
87	0.1826328408
88	0.1823446037
89	0.1820462105
90	0.1817872489
91	0.1816003964
92	0.1813264598
93	0.1811054242
94	0.1809807644
95	0.1805257982
96	0.1803779254
97	0.1799902921
98	0.1798507931
99	0.1795572418
100	0.1792896538
101	0.1790725852
102	0.1788778958
103	0.1786063813
104	0.1783964186
105	0.1782304323
106	0.1780590522
107	0.1776639851
108	0.1774919059
109	0.1772247432
110	0.1770739789
111	0.1768488901
112	0.1765585769
113	0.1763855347
114	0.1761256937
115	0.1759315929
116	0.1756775863
117	0.1755638947
118	0.1754580506
119	0.1754410458
120	0.1751900629
121	0.1750889266
122	0.1749461833
123	0.1747332216
124	0.174506375
125	0.1744151908
126	0.1742095945
127	0.1740602856
128	0.1739309828
129	0.1738565972
130	0.1737076044
131	0.173614315
132	0.1734819128
133	0.1732881123
134	0.1732194709
135	0.1730645905
136	0.1729257222
137	0.1728228843
138	0.1726732202
139	0.172447662
140	0.1723077934
141	0.1720776836
142	0.171929018
143	0.1718207898
144	0.17164126
145	0.17153795
146	0.1713317222
147	0.1711270971
148	0.1709712886
149	0.1707266521
150	0.1705387558
151	0.1704921368
152	0.1703881362
153	0.1702685254
154	0.1701661652
155	0.170040673
156	0.1699175627
157	0.1697884594
158	0.169450491
159	0.1693092261
160	0.1691441261
161	0.1687718001
162	0.1686917156
163	0.1685139781
164	0.168339514
165	0.1682342797
166	0.168146345
167	0.1680366535
168	0.1679877707
169	0.1678555505
170	0.1675720659
171	0.1674858707
172	0.1674197316
173	0.1672872559
174	0.1670780079
175	0.1670206922
176	0.1668893923
177	0.1668096106
178	0.1666684739
179	0.1664574473
180	0.1663913657
181	0.1662411798
182	0.1661378665
183	0.1660582785
184	0.1659826357
185	0.1659305638
186	0.1658053234
187	0.165587619
188	0.1654298749
189	0.1653077421
190	0.1652183071
191	0.1652130386
192	0.165094612
193	0.1649155134
194	0.1646588803
195	0.1644343699
196	0.1643142857
197	0.1642414067
198	0.1641455677
199	0.1640181564
200	0.1638820084
201	0.1638238721
202	0.1637522053
203	0.163672487
204	0.1635264928
205	0.1634537742
206	0.1632005521
207	0.1631082488
208	0.1631025401
209	0.1629241089
210	0.1628976437
211	0.1628118909
212	0.1627800149
213	0.1627206052
214	0.1626586785
215	0.1625694233
216	0.162435934
217	0.1623635595
218	0.1622865224
219	0.1622204604
220	0.1620881252
221	0.1619788621
222	0.1618554225
223	0.1618460257
224	0.1617801835
225	0.1617216904
226	0.1616012885
227	0.1614977498
228	0.1614019169
229	0.1612875386
230	0.1612802029
231	0.1611904827
232	0.1611846797
233	0.161122121
234	0.1610749997
235	0.1610722976
236	0.1609699685
237	0.1609536896
238	0.160879348
239	0.1608280695
240	0.1607590151
241	0.1607155461
242	0.1606264135
243	0.160534372
244	0.1605332193
245	0.1605283789
246	0.1604841502
247	0.1603770824
248	0.1602004296
249	0.1599605774
250	0.1598554127
251	0.1598134992
252	0.1597746847
253	0.1597625661
254	0.1596166697
255	0.1594900844
256	0.1594293566
257	0.1593499617
258	0.1592577198
259	0.1592335373
260	0.1592055444
261	0.1589739138
262	0.1589439794
263	0.1588947603
264	0.1588718502
265	0.1587934816
266	0.1587407451
267	0.1587194827
268	0.1586019886
269	0.1585292584
270	0.1584715703
271	0.1583696361
272	0.1583116218
273	0.1581379681
274	0.1580704063
275	0.1578610077
276	0.1577611605
277	0.157747881
278	0.1577472036
279	0.1577083687
280	0.1576770996
281	0.1576351288
282	0.1575642839
283	0.1574903014
284	0.1572767419
285	0.1572253683
286	0.1570623208
287	0.1570331484
288	0.1569817445
289	0.1569720087
290	0.156943625
291	0.1568758388
292	0.1567842757
293	0.156772913
294	0.1567702255
295	0.1566848165
296	0.156663986
297	0.1566634487
298	0.1566138452
299	0.156534321
300	0.1565137529
301	0.1564793906
302	0.1564357879
303	0.1563808025
304	0.1563181068
305	0.1563020605
306	0.1562743409
307	0.1560835633
308	0.1560074771
309	0.1559666937
310	0.1559045207
311	0.1558570612
312	0.1558222563
313	0.1558003601
314	0.1557582462
315	0.1557256983
316	0.1556456223
317	0.1555873413
318	0.1555062363
319	0.1553874727
320	0.1553202553
321	0.155233677
322	0.1551217703
323	0.1550927843
324	0.1550411355
325	0.1550010261
326	0.1549718067
327	0.1548118042
328	0.1546394683
329	0.1545893853
330	0.154501367
331	0.1544673896
332	0.1542987575
333	0.1541980184
334	0.1541609205
335	0.1540979508
336	0.1540199381
337	0.153906843
338	0.1538980756
339	0.1538562812
340	0.153841327
341	0.153761779
342	0.1536948859
343	0.1536701857
344	0.1536221553
345	0.1534752687
346	0.1534237082
347	0.1533169328
348	0.1532689679
349	0.1532221369
350	0.1531779061
351	0.153106415
352	0.1530685918
353	0.1530077973
354	0.1529728283
355	0.1529260419
356	0.1528651353
357	0.1527856631
358	0.1527116564
359	0.1526748576
360	0.1526499533
361	0.1526066359
362	0.1524491952
363	0.1524010896
364	0.1523367409
365	0.1522853515
366	0.1522601236
367	0.1521212299
368	0.1520482743
369	0.1520121136
370	0.1518715186
371	0.1518471849
372	0.1517781686
373	0.1517272571
374	0.1516830312
375	0.151631433
376	0.1515861575
377	0.1515598834
378	0.1515042848
379	0.151455246
380	0.1514093319
381	0.1513757101
382	0.1513242319
383	0.1512947141
384	0.1512627749
385	0.1512179677
386	0.1511832473
387	0.1511425404
388	0.1510903302
389	0.1510320546
390	0.1510028029
391	0.1509289583
392	0.1509092197
393	0.1508564687
394	0.1508468564
395	0.1507668878
396	0.1507239263
397	0.1506881708
398	0.1506372806
399	0.1506052427
400	0.1505743801
401	0.1505460677
402	0.1504983077
403	0.1504624484
404	0.1504370097
405	0.1504127121
406	0.1503554112
407	0.1503090139
408	0.1502810456
409	0.1502222682
410	0.1501898081
411	0.1501499855
412	0.1501206992
413	0.1500554878
414	0.1500038352
415	0.1499819715
416	0.1499428043
417	0.1498808703
418	0.1498571311
419	0.1498245519
420	0.1498034338
421	0.1497860356
422	0.1496861486
423	0.1496123276
424	0.1495623411
425	0.1495263208
426	0.149456739
427	0.1494420789
428	0.1494132723
429	0.149368303
430	0.149331547
431	0.1492573025
432	0.1492407855
433	0.1491159009
434	0.149088377
435	0.1490485456
436	0.1489176087
437	0.1488950945
438	0.148863237
439	0.1487768285
440	0.148748463
441	0.1486771075
442	0.1486602085
443	0.1485232323
444	0.1484465946
445	0.1484176654
446	0.1483724031
447	0.1483457801
448	0.148270084
449	0.1482264654
450	0.1482147469
451	0.1481881672
452	0.1481698061
453	0.1481240728
454	0.1480975254
455	0.1479107406
456	0.1478016827
457	0.1476878618
458	0.147630133
459	0.1476240685
460	0.1475905275
461	0.1475612596
462	0.1474878809
463	0.1474588879
464	0.1474062955
465	0.1473533039
466	0.1473188463
467	0.1472890597
468	0.1471699891
469	0.1471474473
470	0.1470972036
471	0.1470398303
472	0.1469841225
473	0.1469607682
474	0.1469591721
475	0.1469341222
476	0.1468901496
477	0.1468675945
478	0.1468079481
479	0.1467097334
480	0.1466677502
481	0.1465953797
482	0.1465576143
483	0.1465406764
484	0.1464859058
485	0.1464609144
486	0.1463986995
487	0.1463596191
