iter	Passed	Remaining
0	817	1635111
1	1470	1468716
2	1911	1272500
3	2285	1140337
4	2691	1074069
5	3091	1027340
6	3490	993907
7	3883	966973
8	4268	944251
9	4537	902896
10	4889	884109
11	5145	852445
12	5592	854728
13	5959	845376
14	6306	834600
15	6650	824677
16	7035	820627
17	7386	813284
18	7737	806694
19	8159	807820
20	8449	796306
21	8821	793121
22	9266	796519
23	9701	798727
24	10082	796490
25	10395	789245
26	10815	790331
27	11195	788483
28	11540	784387
29	11883	780374
30	12294	780928
31	12654	778254
32	13060	778506
33	13371	773204
34	13757	772413
35	14110	769788
36	14432	765687
37	14860	767265
38	15249	766781
39	15628	765788
40	16023	765596
41	16410	765047
42	16769	763197
43	17090	759731
44	17470	758981
45	17829	757346
46	18262	758852
47	18615	757041
48	18976	755583
49	19346	754509
50	19761	755197
51	20056	751363
52	20443	751003
53	20837	750939
54	21185	749179
55	21625	750710
56	21993	749705
57	22412	750434
58	22838	751357
59	23250	751769
60	23579	749527
61	23967	749170
62	24292	746893
63	24696	747069
64	25128	748058
65	25521	747844
66	25848	745751
67	26144	742807
68	26590	744161
69	26941	742810
70	27378	743838
71	27822	745032
72	28261	746022
73	28588	744081
74	28965	743436
75	29367	743449
76	29644	740352
77	30063	740799
78	30495	741541
79	30910	741862
80	31375	743316
81	31779	743327
82	32192	743537
83	32600	743601
84	32996	743390
85	33378	742859
86	33878	744944
87	34285	744940
88	34714	745393
89	35114	745202
90	35519	745120
91	35871	743943
92	36238	743087
93	36557	741258
94	36956	741069
95	37354	740870
96	37833	742236
97	38262	742597
98	38734	743784
99	39150	743868
100	39518	743034
101	39901	742472
102	40325	742691
103	40600	740183
104	41001	739980
105	41360	739019
106	41792	739379
107	42140	738236
108	42538	737989
109	42981	738494
110	43415	738840
111	43718	736969
112	44169	737587
113	44604	737925
114	45026	738037
115	45472	738533
116	45872	738264
117	46333	738982
118	46764	739197
119	47171	739015
120	47625	739570
121	48072	740002
122	48531	740597
123	48998	741297
124	49388	740823
125	49811	740851
126	50170	739919
127	50630	740470
128	51083	740907
129	51550	741538
130	51938	741011
131	52244	739343
132	52388	735414
133	52587	732299
134	53011	732338
135	53234	729619
136	53409	726297
137	53718	724804
138	54048	723624
139	54501	724093
140	54800	722506
141	55225	722596
142	55608	722126
143	55934	720939
144	56397	721503
145	56809	721407
146	57123	720061
147	57565	720345
148	57921	719552
149	58363	719820
150	58805	720075
151	59182	719528
152	59580	719247
153	60101	720440
154	60554	720788
155	60983	720850
156	61484	721761
157	61853	721101
158	62290	721235
159	62660	720596
160	63084	720574
161	63470	720119
162	63893	720072
163	64434	721348
164	64924	722043
165	65343	721929
166	65725	721404
167	66136	721205
168	66588	721442
169	66985	721081
170	67501	721988
171	67909	721737
172	68321	721521
173	68782	721819
174	69261	722298
175	69781	723187
176	70214	723170
177	70631	722985
178	70982	722117
179	71460	722546
180	71832	721898
181	72244	721654
182	72605	720901
183	73042	720894
184	73490	720996
185	73939	721113
186	74392	721249
